French,Russian,ExampleFrench,ExampleRussian,Emoji
un cou,шея,"J'ai mal au <b>cou</b>.","У меня болит <b>шея</b>.",🦒
"frais, fraîche","свежий, -ая; прохладный, -ая","Il fait <b>frais</b> ce matin.","Сегодня утром <b>прохладно</b>.",❄️
pencher,наклонять,"<b>Penche</b>-toi un peu.","<b>Наклонись</b> немного.",↘️
placer,ставить; размещать,"J'ai <b>placé</b> les livres sur l'étagère.","Я <b>поставил</b> книги на полку.",📚
juger,судить,"Ne me <b>juge</b> pas.","Не <b>суди</b> меня.",⚖️
une mesure,мера; размер,"Quelle est la <b>mesure</b> de ce meuble ?","Каков <b>размер</b> этой мебели?",📏
laver,мыть,"Je dois <b>laver</b> la vaisselle.","Мне нужно <b>помыть</b> посуду.",🧼
prêter,одалживать,"Peux-tu me <b>prêter</b> ton stylo ?","Можешь <b>одолжить</b> мне ручку?",✏️
observer,наблюдать,"J'aime <b>observer</b> les étoiles.","Я люблю <b>наблюдать</b> за звёздами.",🔭
inutile,бесполезный,"C'est <b>inutile</b> d'insister.","<b>Бесполезно</b> настаивать.",🚫
crever,"лопаться; дохнуть (разг.)","Le pneu a <b>crevé</b>.","Шина <b>лопнула</b>.",💥
euh,э-э (междометие раздумья),"<b>Euh</b>, je ne sais pas.","<b>Э-э</b>, не знаю.",🤔
une conversation,разговор,"Nous avons eu une longue <b>conversation</b>.","У нас был долгий <b>разговор</b>.",💬
une chaise,стул,"<b>Assieds</b>-toi sur cette <b>chaise</b>.","<b>Садись</b> на этот <b>стул</b>.",🪑
un but,цель,"Mon <b>but</b> est d'apprendre le français.","Моя <b>цель</b> — выучить французский.",🎯
"pur, pure","чистый, -ая","C'est de l'eau <b>pure</b>.","Это <b>чистая</b> вода.",💧
un malheur,несчастье,"Un <b>malheur</b> est arrivé.","Случилось <b>несчастье</b>.",😢
accrocher,вешать; цеплять,"<b>Accroche</b> ton manteau ici.","<b>Повесь</b> пальто сюда.",🧥
"secret, secrète","секретный, тайный","C'est une information <b>secrète</b>.","Это <b>секретная</b> информация.",🤫
un gamin,мальчишка (разг.),"Ce <b>gamin</b> est très intelligent.","Этот <b>мальчишка</b> очень умный.",👦
entraîner,тренировать; влечь за собой,"Je m'<b>entraîne</b> trois fois par semaine.","Я <b>тренируюсь</b> три раза в неделю.",🏋️
