French,Russian,ExampleFrench,ExampleRussian,Emoji
"israélien, israélienne",израильский,"Le gouvernement <b>israélien</b>.","<b>Израильское</b> правительство.",🇮🇱
une cafetière,кофеварка,"Une <b>cafetière</b> électrique.","Электрическая <b>кофеварка</b>.",☕
distinctement,отчётливо,"Parler <b>distinctement</b>.","Говорить <b>отчётливо</b>.",🗣️
"urbain, urbaine",городской,"Une zone <b>urbaine</b>.","<b>Городская</b> зона.",🏙️
"laborieux, laborieuse",трудоёмкий,"Un travail <b>laborieux</b>.","<b>Трудоёмкая</b> работа.",💪
"velu, velue",волосатый,"Des bras <b>velus</b>.","<b>Волосатые</b> руки.",🐻
une espadrille,эспадрильи,"Des <b>espadrilles</b> d'été.","Летние <b>эспадрильи</b>.",👟
un poulain,жеребёнок,"Un jeune <b>poulain</b>.","Молодой <b>жеребёнок</b>.",🐴
une dépendance,зависимость,"Une <b>dépendance</b> à l'alcool.","<b>Зависимость</b> от алкоголя.",⚠️
"invité, invitée",приглашённый,"Un <b>invité</b> d'honneur.","<b>Почётный</b> гость.",🎉
"enterré, enterrée",похороненный,"Un trésor <b>enterré</b>.","<b>Зарытый</b> клад.",💎
un gueux,нищий,"Un pauvre <b>gueux</b>.","Бедный <b>нищий</b>.",🧔
"brodé, brodée",вышитый,"Une nappe <b>brodée</b>.","<b>Вышитая</b> скатерть.",🧵
un absurde,абсурд,"L'<b>absurde</b> de la situation.","<b>Абсурдность</b> ситуации.",🤷
"dégagé, dégagée",открытый,"Un ciel <b>dégagé</b>.","<b>Ясное</b> небо.",☀️
relaxer,расслаблять,"Se <b>relaxer</b> après le travail.","<b>Расслабиться</b> после работы.",🧘
un arc-en-ciel,радуга,"Un bel <b>arc-en-ciel</b>.","Красивая <b>радуга</b>.",🌈
repêcher,вылавливать,"<b>Repêcher</b> un noyé.","<b>Выловить</b> утонувшего.",🌊
un fabricant,производитель,"Le <b>fabricant</b> de voitures.","<b>Производитель</b> автомобилей.",🏭
assortir,подбирать,"<b>Assortir</b> les couleurs.","<b>Подобрать</b> цвета.",🎨
méconnaissable,неузнаваемый,"Il est <b>méconnaissable</b>.","Он <b>неузнаваем</b>.",😮
un envol,взлёт,"L'<b>envol</b> des oiseaux.","<b>Взлёт</b> птиц.",🐦
griffonner,накарябать,"<b>Griffonner</b> une note.","<b>Накарябать</b> записку.",✏️
tanguer,качаться,"Le bateau <b>tangue</b>.","Лодка <b>качается</b>.",⛵
un plongeur,ныряльщик,"Un <b>plongeur</b> sous-marin.","Подводный <b>ныряльщик</b>.",🤿
une overdose,передозировка,"Une <b>overdose</b> fatale.","Смертельная <b>передозировка</b>.",💊
un cor,рог,"Le son du <b>cor</b>.","Звук <b>рога</b>.",📯
un extra,подработка,"Faire des <b>extras</b>.","Делать <b>подработки</b>.",💼
une impossibilité,невозможность,"Une <b>impossibilité</b> technique.","Техническая <b>невозможность</b>.",🚫
"contenu, contenue",сдержанный,"Une joie <b>contenue</b>.","<b>Сдержанная</b> радость.",😊
un guidon,руль,"Le <b>guidon</b> du vélo.","<b>Руль</b> велосипеда.",🚲
un répertoire,репертуар,"Le <b>répertoire</b> d'un acteur.","<b>Репертуар</b> актёра.",🎭
une tolérance,терпимость,"Prêcher la <b>tolérance</b>.","Проповедовать <b>терпимость</b>.",🤝
hilare,хохочущий,"Un public <b>hilare</b>.","<b>Хохочущая</b> публика.",😂
bouillonner,кипеть,"L'eau <b>bouillonne</b>.","Вода <b>кипит</b>.",🫧
un bossu,горбун,"Le <b>bossu</b> de Notre-Dame.","<b>Горбун</b> из Нотр-Дама.",🏰
alerte,тревога,"<b>Alerte</b> générale !","Общая <b>тревога</b>!",🚨
holà,эй-эй,"<b>Holà</b>, du calme !","<b>Эй-эй</b>, спокойно!",✋
un infarctus,инфаркт,"Un <b>infarctus</b> du myocarde.","<b>Инфаркт</b> миокарда.",❤️‍🩹
une déchéance,падение,"La <b>déchéance</b> morale.","Моральное <b>падение</b>.",📉
véritablement,по-настоящему,"<b>Véritablement</b> impressionnant.","<b>По-настоящему</b> впечатляюще.",✨
une acclamation,приветствие,"Sous les <b>acclamations</b>.","Под <b>приветствия</b>.",👏
une maturité,зрелость,"Atteindre la <b>maturité</b>.","Достичь <b>зрелости</b>.",🌱
un coût,стоимость,"Le <b>coût</b> de la vie.","<b>Стоимость</b> жизни.",💵
un kidnapping,похищение,"Un <b>kidnapping</b> dramatique.","Драматическое <b>похищение</b>.",🚔
un opposé,противоположность,"L'<b>opposé</b> exact.","Полная <b>противоположность</b>.",↔️
une mayonnaise,майонез,"Une cuillère de <b>mayonnaise</b>.","Ложка <b>майонеза</b>.",🥄
une orgie,оргия,"Une <b>orgie</b> romaine.","Римская <b>оргия</b>.",🍷
"chantant, chantante",певучий,"Un accent <b>chantant</b>.","<b>Певучий</b> акцент.",🎵
"coquet, coquette",кокетливый,"Une robe <b>coquette</b>.","<b>Кокетливое</b> платье.",👗
"périlleux, périlleuse",опасный,"Un saut <b>périlleux</b>.","<b>Опасный</b> прыжок.",🤸
"électoral, électorale",избирательный,"Une campagne <b>électorale</b>.","<b>Избирательная</b> кампания.",🗳️
"savoureux, savoureuse",вкусный,"Un plat <b>savoureux</b>.","<b>Вкусное</b> блюдо.",😋
faussement,ложно,"<b>Faussement</b> accusé.","<b>Ложно</b> обвинённый.",😔
contraster,контрастировать,"<b>Contraster</b> avec le fond.","<b>Контрастировать</b> с фоном.",🎨
manigancer,замышлять,"<b>Manigancer</b> un complot.","<b>Замышлять</b> заговор.",🤫
conformément,согласно,"<b>Conformément</b> à la loi.","<b>Согласно</b> закону.",📜
un clairon,горнист,"Le <b>clairon</b> sonne.","<b>Горн</b> трубит.",🎺
un éveil,пробуждение,"L'<b>éveil</b> des sens.","<b>Пробуждение</b> чувств.",🌅
"suppliant, suppliante",молящий,"Un regard <b>suppliant</b>.","<b>Молящий</b> взгляд.",🙏
un affront,оскорбление,"Subir un <b>affront</b>.","Получить <b>оскорбление</b>.",😤
un lilas,сирень,"Un bouquet de <b>lilas</b>.","Букет <b>сирени</b>.",💜
une chenille,гусеница,"Une <b>chenille</b> verte.","Зелёная <b>гусеница</b>.",🐛
esclaffer,прыскать,"S'<b>esclaffer</b> de rire.","<b>Прыснуть</b> от смеха.",😂
un paumé,неудачник,"Un pauvre <b>paumé</b>.","Бедный <b>неудачник</b>.",😔
une minorité,меньшинство,"Une <b>minorité</b> ethnique.","Этническое <b>меньшинство</b>.",👥
une moquerie,насмешка,"Objet de <b>moquerie</b>.","Объект <b>насмешек</b>.",😏
remédier,исправлять,"<b>Remédier</b> à la situation.","<b>Исправить</b> ситуацию.",🔧
un au-delà,потустороннее,"Croire en l'<b>au-delà</b>.","Верить в <b>потустороннее</b>.",👻
un nouveau-né,новорождённый,"Un <b>nouveau-né</b> adorable.","Очаровательный <b>новорождённый</b>.",👶
une once,унция,"Une <b>once</b> d'or.","<b>Унция</b> золота.",🥇
"explosif, explosive",взрывной,"Un mélange <b>explosif</b>.","<b>Взрывоопасная</b> смесь.",💥
rêche,шершавый,"Une étoffe <b>rêche</b>.","<b>Шершавая</b> ткань.",🧵
"tourmenté, tourmentée",измученный,"Une âme <b>tourmentée</b>.","<b>Измученная</b> душа.",😔
une transe,транс,"Entrer en <b>transe</b>.","Войти в <b>транс</b>.",🌀
"superflu, superflue",излишний,"Un luxe <b>superflu</b>.","<b>Излишняя</b> роскошь.",💎
une basse,бас,"Une <b>basse</b> électrique.","Электрическая <b>бас</b>-гитара.",🎸
une gourde,фляга,"Une <b>gourde</b> d'eau.","<b>Фляга</b> с водой.",🥤
une plénitude,полнота,"En <b>plénitude</b>.","В <b>полноте</b>.",✨
une ruche,улей,"Une <b>ruche</b> d'abeilles.","<b>Улей</b> пчёл.",🐝
sous-titrer,добавлять субтитры,"<b>Sous-titrer</b> un film.","<b>Добавить субтитры</b> к фильму.",🎬
amarrer,швартовать,"<b>Amarrer</b> le bateau.","<b>Пришвартовать</b> лодку.",⛵
