French,Russian,ExampleFrench,ExampleRussian,Emoji
une organisation,организация,"C'est une grande <b>organisation</b>.","Это большая <b>организация</b>.",🏢
un semblant,видимость,"Il fait <b>semblant</b> de dormir.","Он <b>делает вид</b>, что спит.",🎭
une bibliothèque,библиотека,"Je vais à la <b>bibliothèque</b>.","Я иду в <b>библиотеку</b>.",📚
un atelier,мастерская,"Il travaille dans un <b>atelier</b>.","Он работает в <b>мастерской</b>.",🔧
"gras, grasse",жирный,"C'est trop <b>gras</b>.","Это слишком <b>жирно</b>.",🍔
"intérieur, intérieure",внутренний,"La cour <b>intérieure</b>.","<b>Внутренний</b> двор.",🏠
une auto,машина (разг.),"J'ai une nouvelle <b>auto</b>.","У меня новая <b>машина</b>.",🚗
un échec,неудача; провал,"C'est un <b>échec</b>.","Это <b>провал</b>.",❌
humide,влажный,"L'air est <b>humide</b>.","Воздух <b>влажный</b>.",💧
une bagnole,тачка (разг.),"Ma <b>bagnole</b> est en panne.","Моя <b>тачка</b> сломалась.",🚗
"net, nette",чистый; ясный,"C'est une amélioration <b>nette</b>.","Это <b>явное</b> улучшение.",✨
une monnaie,валюта; мелочь,"Tu as de la <b>monnaie</b> ?","У тебя есть <b>мелочь</b>?",💰
un poète,поэт,"C'est un grand <b>poète</b>.","Это великий <b>поэт</b>.",📜
unir,объединять,"L'amour <b>unit</b> les gens.","Любовь <b>объединяет</b> людей.",💕
un menton,подбородок,"Il a un <b>menton</b> carré.","У него квадратный <b>подбородок</b>.",👨
estimer,оценивать; уважать,"J'<b>estime</b> que c'est juste.","Я <b>считаю</b>, что это справедливо.",🤔
volontiers,охотно,"<b>Volontiers</b> !","<b>С удовольствием</b>!",😊
sécher,сушить,"<b>Sèche</b> tes cheveux.","<b>Высуши</b> волосы.",💨
un usage,использование,"C'est l'<b>usage</b> ici.","Таков здесь <b>обычай</b>.",📋
jadis,некогда; в старину,"<b>Jadis</b>, il y avait un roi.","<b>Некогда</b> жил-был король.",🏰
une pompe,насос; помпа,"La <b>pompe</b> à essence.","<b>Насос</b> на заправке.",⛽
un coude,локоть,"J'ai mal au <b>coude</b>.","У меня болит <b>локоть</b>.",💪
un ouest,запад,"Le soleil se couche à l'<b>ouest</b>.","Солнце садится на <b>западе</b>.",🌅
un cabinet,кабинет; туалет,"Le <b>cabinet</b> du médecin.","<b>Кабинет</b> врача.",🏥
